0;0;{"question":"Вы планируете встречать Новый Год с друзьями, но ответственного за организацию все нет и планы до последнего не ясны. Как Вы поступите в этой ситуации?", "answers": [{"text": "Иметь четкие и понятные планы важно, раз их нет – Вы лучше останетесь дома с семьей.", "score": 0}, {"text": "В последний момент возьмете на себя инициативу и организуете все сами.", "score": 2}, {"text": "У Вас нет проблем с тем, чтобы подстроиться под любую ситуацию, так даже интереснее.", "score": 4}, {"text": "Иметь понятный план, конечно, лучше, но Вы готовы идти с друзьями в любом случае.", "score": 2}, {"text": "Будете переживать, но отложите принятие решения до последнего момента, чтобы решать по ситуации.", "score": 0}]}

1;1;{"question":"Вам поручили завершить часть учебного задания за Вашего заболевшего коллегу. В процессе работы над заданием Вы заметили, что в части коллеги много ошибок и недочетов. Как Вы поступите?", "answers": [{"text": "Сделаете свою часть максимально качественно и сдадите задание, не акцентируя внимания на существующих ошибках.", "score": 0}, {"text": "Сообщите, что в части коллеги много ошибок и из-за этого все задание будет выполнено не на должном уровне.", "score": 0}, {"text": "Потратите время на исправление ошибок и недочетов в части коллеги, затем сделаете свою часть.", "score": 4}, {"text": "Сообщите об ошибках в части коллеги и попросите помощи в их устранении.", "score": 2}, {"text": "Попробуете уговорить кого-то завершить задание за Вас, не любите ни чужие задания, ни исправление чужих ошибок.", "score": 0}]}

2;2;{"question":"Как Вы относитесь к контролю за Вашей работой?", "answers": [{"text": "Вас не нужно контролировать, просто доверьте работу и отойдите в сторону.", "score": -1}, {"text": "Спокойно, если этот контроль не отвлекает Вас от самой работы.", "score": 2}, {"text": "Нормально, если он проводится компетентно и помогает Вам исправить ошибки в работе.", "score": 2}, {"text": "Терпимо, если он не подрывает Ваш авторитет среди коллег.", "score": 0}, {"text": "Контроль, формальные инструкции и указания необходимы для эффективной работы.", "score": 4}]}

3;3;{"question":"На общем собрании в Вашем учебном заведении сообщили, что планируется введение новой системы обучения, которая существенно отличается от существующей. Как Вы отнесетесь к этим изменениям?", "answers": [{"text": "Будете стараться в деталях вникнуть в эти изменения, чтобы понять и свыкнуться с ними.", "score": 2}, {"text": "Будете больше думать о возможных позитивных моментах, которые с собой приносят нововведения.", "score": 4}, {"text": "Будете чувствовать стресс, Вам бы хотелось, чтобы все оставалось, как есть.", "score": 0}, {"text": "Будете активно обсуждать с коллективом и проникнетесь общим настроением.", "score": 0}, {"text": "Не будете сильно переживать, так как чувствуете в себе силы справиться с любыми изменениями.", "score": 4}]}

4;4;{"question":"Вы решили сделать покупку, но Ваш друг считает, что эта покупка будет неудачной. Как Вы отреагируете?", "answers": [{"text": "Не обратите внимание на его мнение и совершите покупку.", "score": 0}, {"text": "Выслушаете аргументы друга и подумаете над ними.", "score": 2}, {"text": "Соберете дополнительную информацию о покупке с учетом комментариев друга и примете решение.", "score": 4}, {"text": "Откажетесь от покупки, чтобы показать другу, что Вы цените его мнение.", "score": 0}, {"text": "Задумаетесь и попросите совета еще у нескольких друзей.", "score": 2}]}

5;5;{"question":"Вас попросили обзвонить большой список компаний, предлагающих услуги по ремонту, и выбрать несколько лучших. Вы звоните уже несколько часов и чувствуете усталость, а в списке еще половина компаний. Как Вы поступите?", "answers": [{"text": "Отложите звонки на другое время, сейчас отдохнете и займетесь более разнообразными делами.", "score": 0}, {"text": "Продолжите делать звонки, прерываясь на небольшие паузы для отдыха.", "score": 2}, {"text": "Приложите все усилия, чтобы как можно скорее завершить обзвон и освободиться.", "score": 2}, {"text": "Попросите тех, кто рядом, помочь Вам закончить обзвон.", "score": 4}, {"text": "Выберете лучших из тех, кому уже позвонили и отчитаетесь о выполненном задании.", "score": 0}]}
